PROCEDIMENTO,RN (ALTERACAO),VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPITULO
REEDUCAÇÃO E REABILITAÇÃO TRAUMATO-ORTOPÉDICA (EXCLUI TÉCNICAS CINESIOTERÁPICAS ESPECÍFICAS),SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
REEDUCAÇÃO E/OU REABILITAÇÃO DE DISTÚRBIOS CRÂNIO-FACIAIS,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
REEDUCAÇÃO E/OU REABILITAÇÃO NOS PROCESSOS INFLAMATÓRIOS PÉLVICOS,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,REABILITAÇÃO,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
ACTINOTERAPIA,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
APLICAÇÃO DE CARIOSTÁTICO (COM DIRETRIZ DE UTILIZAÇÃO),SEM VALOR,SEM VALOR,Seg. Odontológica,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,79,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
APLICAÇÃO DE HIPOSSENSIBILIZANTE,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
APLICAÇÃO DE SELANTE (COM DIRETRIZ DE UTILIZAÇÃO),SEM VALOR,SEM VALOR,Seg. Odontológica,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,80,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
APLICAÇÃO TÓPICA DE FLÚOR,SEM VALOR,SEM VALOR,Seg. Odontológica,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
APLICAÇÃO TÓPICA DE VERNIZ FLUORETADO,SEM VALOR,SEM VALOR,Seg. Odontológica,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
PROCEDIMENTO,RN (alteração),VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
BETATERAPIA,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,PAC,SEM VALOR,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
CARDIOVERSÃO QUÍMICA DE ARRITMIA PAROXÍSTA,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
CATETERISMO VESICAL,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
CERUMEN - REMOÇÃO,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
CRIOTERAPIA,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
CURATIVOS EM GERAL COM OU SEM ANESTESIA,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
DILATAÇÃO URETRAL,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
DESSENSIBILIZAÇÃO DENTÁRIA,SEM VALOR,SEM VALOR,Seg. Odontológica,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
ESTIMULAÇÃO ELÉTRICA TRANSCUTÂNEA (COM DIRETRIZ DE UTILIZAÇÃO),SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,24,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
FOTOTERAPIA COM UVA (PUVA) PARA TRATAMENTO DE PSORÍASE OU VITILIGO,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,SEM VALOR,SEM VALOR,REF,PAC,SEM VALOR,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
INSTILAÇÃO VESICAL OU URETRAL,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
LESÕES MÚSCULO TENDINOSAS - TRATAMENTO INCRUENTO,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
PLANEJAMENTO TÉCNICO DA IMUNOTERAPIA ALÉRGENO INESPECÍFICA,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
PLANEJAMENTO TÉCNICO DA IMUNOTERAPIA ALÉRGENO-ESPECÍFICA,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
PRIAPISMO - TRATAMENTO NÃO CIRÚRGICO,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
PULSOTERAPIA,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
OXIGENOTERAPIA HIPERBÁRICA (COM DIRETRIZ DE UTILIZAÇÃO),SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,PAC,58,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
REDUÇÃO DE LUXAÇÃO DA ATM (COM DIRETRIZ DE UTILIZAÇÃO),SEM VALOR,SEM VALOR,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,96,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
REMINERALIZAÇÃO DENTÁRIA,SEM VALOR,SEM VALOR,Seg. Odontológica,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
PROCEDIMENTO,RN (alteração),VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
SESSÃO DE ACUPUNTURA,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,SEM VALOR,SEM VALOR,REF,SEM VALOR,SEM VALOR,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
TERAPIA AVANÇADA PARA O TRATAMENTO DA ATROFIA MUSCULAR ESPINHAL (COM DIRETRIZ DE UTILIZAÇÃO),571/2023,10/02/2023,SEM VALOR,SEM VALOR,HCO,HSO,REF,PAC,159,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
TERAPIA PARA DOENÇA DE FABRY CLÁSSICA (COM DIRETRIZ DE UTILIZAÇÃO),581/2023 599/2024,12/07/2023 05/03/2024,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,PAC,161,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
TERAPIA COM ALFACERLIPONASE PARA LIPOFUSCINOSE CEROIDE NEURONAL TIPO 2 (CLN2) (COM DIRETRIZ DE UTILIZAÇÃO),538/2022,22/10/2022,SEM VALOR,SEM VALOR,HCO,HSO,REF,PAC,153,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
"TERAPIA IMUNOBIOLÓGICA ENDOVENOSA, INTRAMUSCULAR OU SUBCUTÂNEA (COM DIRETRIZ DE UTILIZAÇÃO)",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,PAC,65,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
TERAPIA IMUNOPROFILÁTICA PARA O VÍRUS SINCICIAL RESPIRATÓRIO (VSR) (COM DIRETRIZ DE UTILIZAÇÃO),465/2021 624/2024,01/04/2021 03/02/2025,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,124,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
TERAPIA INALATÓRIA (NEBULIZAÇÃO),SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
TERAPIA INTRAVENOSA COM ÁCIDO ZOLEDRÔNICO (COM DIRETRIZ DE UTILIZAÇÃO),592/2023,18/12/2023,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,PAC,163,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
TERAPIA MEDICAMENTOSA INJETÁVEL AMBULATORIAL (COM DIRETRIZ DE UTILIZAÇÃO),546/2022,03/10/2022,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,158,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
TERAPIA ONCOLÓGICA - PLANEJAMENTO,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,PAC,SEM VALOR,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
TERAPIA ONCOLÓGICA COM APLICAÇÃO DE MEDICAMENTOS POR VIA INTRACAVITÁRIA OU INTRATECAL,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,PAC,SEM VALOR,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
TERAPIA ONCOLÓGICA COM APLICAÇÃO INTRA-ARTERIAL OU INTRAVENOSA DE MEDICAMENTOS,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,PAC,SEM VALOR,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
TERAPIA ONCOLÓGICA MEDICAMENTOSA PEROPERATÓRIA,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,PAC,SEM VALOR,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
TERAPIA POR PRESSÃO NEGATIVA (COM DIRETRIZ DE UTILIZAÇÃO),SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,148,TERAPÊUTICA,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
APÊNDICE PRÉ-AURICULAR - RESSECÇÃO,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
APLICAÇÃO DE CONTRACEPTIVO HORMONAL INJETÁVEL (COM DIRETRIZ DE UTILIZAÇÃO),538/2022,22/10/2022,SEM VALOR,Seg. Ambulatorial,SEM VALOR,SEM VALOR,REF,SEM VALOR,154,PROCEDIMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
IMPLANTE SUBDÉRMICO HORMONAL PARA CONTRACEPÇÃO (COM DIRETRIZ DE UTILIZAÇÃO),619/2024,02/01/2025,SEM VALOR,Seg. Ambulatorial,SEM VALOR,SEM VALOR,REF,SEM VALOR,170,PROCEDIMENTOS,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS E HOSPITALARES
AUTONOMIZAÇÃO DE RETALHO,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA DE FACE,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROCEDIMENTO,RN (alteração),VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
"BIÓPSIA DE PELE, TUMORES SUPERFICIAIS, TECIDO CELULAR SUBCUTÂNEO, LINFONODO SUPERFICIAL, UNHA, ETC",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CALOSIDADE E/OU MAL PERFURANTE - DESBASTAMENTO,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CANTOPLASTIA UNGUEAL,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CAUTERIZAÇÃO QUÍMICA,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CIRURGIA DA HIDROSADENITE,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORREÇÃO CIRÚRGICA DE SEQUELAS DE ALOPECIA TRAUMÁTICA COM MICROENXERTOS PILOSOS,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"CORREÇÃO DE DEFORMIDADES POR EXÉRESE DE TUMORES OU SEQÜELAS DE TRAUMATISMOS COM O EMPREGO DE EXPANSORES EM RETALHOS CUTÂNEOS, MUSCULARES E/OU MIOCUTÂNEOS",SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CRIOCIRURGIA (NITROGÊNIO LÍQUIDO) DE NEOPLASIAS CUTÂNEAS,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CURATIVO DE QUEIMADURAS,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CURATIVO ESPECIAL SOB ANESTESIA,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"CURETAGEM, ELETROCOAGULAÇÃO E/OU DERMOABRASÃO DE LESÕES DE PELE E MUCOSAS",SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ABDOMINOPLASTIA (COM DIRETRIZ DE UTILIZAÇÃO),SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,18,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DESBRIDAMENTO CIRÚRGICO,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DESBRIDAMENTO DE FERIMENTOS INFECTADOS E MORDIDAS DE ANIMAIS,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"ENXERTO DE CARTILAGEM, MUCOSA E/OU COMPOSTO",SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ENXERTO DE PELE MÚLTIPLO,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ENXERTO OU HOMOENXERTO DE PELE,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESCALPO - TRATAMENTO CIRÚRGICO,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESCAROTOMIA DESCOMPRESSIVA,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROCEDIMENTO,RN (alteração),VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
EXÉRESE DE HIGROMA CÍSTICO,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE DE LESÃO COM AUTO-ENXERTIA,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE DE LESÃO DE PELE E MUCOSAS,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE DE TUMOR DE PARTES MOLES,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE DE UNHA,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE E SUTURA DE LESÕES COM OU SEM ROTAÇÃO DE RETALHOS,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,PROCEDIMENTOS,"PELE E TECIDO CELULAR SUBCUTÂNEO, MUCOSAS E ANEXOS",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
